resource,value,target_value,multiplier,heat_need,
plank,1,0.1,1,
charcoal,2,2,1,
stone,4,4,1,
quicklime,6,6,1,
iron sand,15.5,15,1,12.6
clay,21,20,1,16.6
coke,29,30,1
coal,40,30,1
salt,65,65,1,65.6
yeast powder,88,88,1,
turquoise,108,108,1,131
black powder,145,150,1,190
impure copper powder,150,180,1,235
sulfur,166,246,1,343
gloom spores,220,280,0.9,403
copper powder,290,350,1,537
malachite,367,427,1,699
crude shard,272,512,1,896
oblivion essence,600,600,1,
unstable catalyst,746,746,0.7,1538
vitality essence,900,900,1,2040,
broken shard,824,1024,1,2448
topaz,1206,1406,1,3244
crude silver powder,1274,1647,0.7,3834
dull shard,1548,2048,1,4708
impure silver powder,2547,3347,0.7,
fertile catalyst,4068,3568,0.5,
fairy dust,3060,3760,1,
shattered crystal,3496,4096,1,
silver powder,4742,4742,0.7,
obsidian,5290,5290,1,
star dust,4149,6149,1,
crude crystal,6692,8192,1,
crude gold dust,10805,13805,0.5,
polished crystal,14384,16384,1,
lapis lazuli,15825,18825,1,
resonant crystal,23869,22869,0.3,
impure gold dust,21611,27611,0.5,
adamant,30768,32768,1,
gold dust,42357,52357,0.5,
diamond,65536,65536,1,
pure gold dust,84715,99715,0.5,
perfect diamond,131072,131072,1,
ruby,200000,200000,1,
sapphire,400000,400000,1,
emerald,600000,600000,1,
philosopher's stone,1000000,1000000,1,

small wooden gear,0.33
copper coin,0.68
logs,0.8
large wooden gear,1.5
flax,2
charcoal powder,2.5
flax fiber,2.5
limestone,3
sage,3
sage powder,3.5
plant ash,4
sand,4.5
iron nails,5
rotten log,6.5
quicklime powder,7
refined sand 1,8
linen thread,9
iron ore,10
basic fertilizer,10
redcurrant,12
linen rope,13
wooden pulley,14
iron ingot,15
refined sand 2,16
mortar,18
clay powder,22
soap,23
soap powder,24
brick,25
gloom fungus,26
glass,27
healing potion,30
coke powder,31
refined sand 3,32
jupiter,34
rock salt,35
coal ore,37
pyrite ore,45
bronze rivet,51
chamomile,55
chamomile powder,57
advanced fertilizer,58
linen,60
refined sand 4,64
gelatinous gridlock,100
flax seeds,115
bandage,120
vitality potion,125
refined sand 5,128
copper bearing,137
bronze ingot,155
steel ingot,161
steel gear,170
sage seeds,175
lavender,180
sulfur powder,200
quartz ore,230
transformation potion,240
fully refined sand,256
copper ingot,300
gentian,400
gentian nectar,420
gentian powder,430
growth potion,500
redcurrant seeds,650
saturn,714
portal sigil,750
pocket watch,789
meteorite,800
silver coin,949
blast potion,1197
perfumed soap powder,1216
perfumed soap,1216
mars,1678
chamomile seeds,2300
world tree leaf,2500
venus,2550
silver ingot,4746
volcanic ash,5920
lavender seeds,6000
panacea potion,15306
silver amulet,25317
mercury,26928
gentian seeds,29000
gold ingot,87223
gold coin,89723
luna,187168
world tree core,250000
moonlit soap,487893
crown,854168
eternal catalyst,1193042
world tree seed,5000000
sol,5587946
