amount,output-resource,input-1-resource,input-2-resource,input-3-resource
16.7,clay,gentian,gentian nectar
8.6,sulfur,lavender,lavender

9.2,impure copper powder,flax fiber,flax,lavender
9.8,turquoise,chamomile,chamomile powder,flax
7.8,copper powder,turquoise,chamomile,lavender
7.3,malachite,flax,sage,gentian
12.2,salt,chamomile,flax,flax fiber
8.3,gloom spores,lavender,chamomile,chamomile powder
16.7,clay,redcurrant,flax fiber,sage powder
9.5,black powder,redcurrant,redcurrant,lavender
5.8,unstable catalyst,gentian,gentian nectar,flax
5.3,vitality essence,gentian,gentian nectar,chamomile
8.6,sulfur,chamomile,flax,lavender
